customer_id,recipe_name,recipe_url,interaction_type,rating,interaction_date,comment,user_index,item_index,content_score,cf_score,interaction_type_code,difficulty,difficulty_code,meal_time,meal_time_code,nutrition_category,estimated_calories,preparation_time_minutes,ingredient_count,estimated_price_vnd
CUS00001,"Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc",https://monngonmoingay.com/mon-kho/,like,3.5,2024-07-20,"Món ăn ổn, có thể cải thiện thêm một chút.",0,54,0.1013399388844841,3.0468699911215835,1,Dễ,0,lunch,2,balanced,486,38,7,60000
CUS00001,Bắp hạt chiên giòn,https://monngonmoingay.com/bap-hat-chien-gion/,view,1.5,2025-04-01,"Khó thưởng thức, món chưa đạt yêu cầu.",0,15,0.1638217401953125,3.12345499808108,4,Dễ,0,breakfast,0,brain-boost,444,24,6,50000
CUS00001,Bánh canh cua,https://monngonmoingay.com/banh-canh-cua/,save,4.0,2025-02-02,"Hương vị hài hòa, rất đáng thử.",0,0,0.2132216184625789,3.046940170381243,3,Dễ,0,breakfast,0,weight-loss,196,24,5,49295
CUS00001,Há cảo tam sắc,https://monngonmoingay.com/ha-cao-tam-sac/,save,3.5,2025-02-12,"Món ăn ổn, có thể cải thiện thêm một chút.",0,46,0.2534136207615819,3.2644828036624403,3,Dễ,0,breakfast,0,balanced,351,28,5,38555
CUS00001,Mì vịt tiềm chay,https://monngonmoingay.com/mi-vit-tiem-chay-2/,view,2.0,2024-10-28,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",0,51,0.2106011666504159,2.991572520045381,4,Dễ,0,lunch,2,balanced,409,30,3,36518
CUS00001,Gà om bia,https://monngonmoingay.com/ga-om/,cook,3.0,2025-01-16,"Món ăn ổn, có thể cải thiện thêm một chút.",0,39,0.1886909983082036,3.0756866381212444,0,Dễ,0,dinner,1,balanced,590,20,3,32432
CUS00001,Gà nướng bưởi xốt giấm,https://monngonmoingay.com/ga-nuong/,save,3.5,2025-01-04,"Món ăn ổn, có thể cải thiện thêm một chút.",0,37,0.2138059115983976,3.1965893763401234,3,Dễ,0,dinner,1,weight-loss,612,27,6,50000
CUS00002,Món ngon từ cá,https://monngonmoingay.com/mon-ngon-tu-ca/,view,2.5,2024-12-10,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",1,55,0.3316241180959913,3.0208085281481125,4,Dễ,0,lunch,2,weight-loss,504,28,5,39210
CUS00002,Thịt nướng BBQ,https://monngonmoingay.com/thit-nuong/,save,3.5,2025-02-22,"Món ăn ổn, có thể cải thiện thêm một chút.",1,64,0.2701621391387072,3.2745049997762954,3,Dễ,0,dinner,1,weight-loss,506,30,5,40020
CUS00002,Mực nướng sa tế,https://monngonmoingay.com/muc-nuong/,view,3.0,2025-03-08,"Món ăn ổn, có thể cải thiện thêm một chút.",1,58,0.1851992223938234,3.0863796052537285,4,Dễ,0,dinner,1,weight-loss,364,17,5,50000
CUS00002,Gà rim ngũ vị,https://monngonmoingay.com/ga-rim/,save,4.0,2025-05-04,"Hương vị hài hòa, rất đáng thử.",1,40,0.2120991607356936,3.0878140834659225,3,Dễ,0,dinner,1,balanced,515,30,4,48224
CUS00002,Heo nướng bắp cải chua,https://monngonmoingay.com/heo-nuong/,view,3.0,2024-12-21,"Món ăn ổn, có thể cải thiện thêm một chút.",1,45,0.2438424055092316,3.049588912349166,4,Dễ,0,dinner,1,weight-loss,603,22,5,35125
CUS00003,Gà trộn gừng chua ngọt,https://monngonmoingay.com/ga-tron/,save,3.5,2024-08-10,"Món ăn ổn, có thể cải thiện thêm một chút.",2,41,0.2444362092647798,3.137074340041801,3,Dễ,0,dinner,1,digestive-support,615,20,5,38400
CUS00003,Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,rate,3.0,2025-01-14,"Món ăn ổn, có thể cải thiện thêm một chút.",2,20,0.290848859866103,3.074190092803644,2,Khó,1,lunch,2,balanced,830,68,9,120000
CUS00003,Tôm rim thịt ba chỉ,https://monngonmoingay.com/tom-rim/,like,4.0,2024-07-20,"Hương vị hài hòa, rất đáng thử.",2,69,0.2515212482748589,3.2939155484752938,1,Dễ,0,lunch,2,blood-boost,614,24,6,40154
CUS00003,"Canh khổ qua – Gian khổ đi qua, cả nhà may mắn",https://monngonmoingay.com/canh-kho/,cook,4.5,2024-05-20,"Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!",2,18,0.1760140327290049,2.934363603782059,0,Trung bình,3,lunch,2,weight-loss,320,27,9,60000
CUS00003,Điều khoảnsử dụng,https://monngonmoingay.com/dieu-khoan-su-dung,like,2.5,2024-06-04,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",2,74,0.3271118235412632,3.1767701037134164,1,Khó,1,dinner,1,balanced,615,100,11,102669
CUS00004,Món Chiên,https://monngonmoingay.com/cac-mon-chien-ngon/,view,2.5,2025-04-14,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",3,52,0.2876601328317339,3.083852924300706,4,Dễ,0,lunch,2,balanced,476,19,3,39422
CUS00004,Gà nướng bưởi xốt giấm,https://monngonmoingay.com/ga-nuong/,save,3.5,2025-01-19,"Món ăn ổn, có thể cải thiện thêm một chút.",3,37,0.1887140804694365,3.186969139267465,3,Dễ,0,dinner,1,weight-loss,537,27,3,38384
CUS00004,"Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc",https://monngonmoingay.com/mon-kho/,save,4.0,2024-06-05,"Hương vị hài hòa, rất đáng thử.",3,54,0.0855276467126564,3.029545658496532,3,Dễ,0,lunch,2,balanced,473,26,7,58098
CUS00004,Cơm chiên cá mặn,https://monngonmoingay.com/com-chien-ca-man/,view,2.0,2025-03-30,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",3,31,0.2152962514901245,3.1749841275330364,4,Dễ,0,breakfast,0,weight-loss,352,25,4,50000
CUS00004,Gà luộc xôi gấc,https://monngonmoingay.com/ga-luoc/,rate,3.0,2024-10-08,"Món ăn ổn, có thể cải thiện thêm một chút.",3,36,0.1554693961434023,3.185173426611859,2,Dễ,0,dinner,1,weight-loss,547,17,4,34560
CUS00004,Bò chiên một nắng,https://monngonmoingay.com/bo-chien/,like,3.5,2024-10-11,"Món ăn ổn, có thể cải thiện thêm một chút.",3,9,0.1782769777206649,3.157133427934507,1,Dễ,0,lunch,2,balanced,611,30,3,33998
CUS00004,Heo kho tàu,https://monngonmoingay.com/heo-kho/,like,3.5,2025-04-11,"Món ăn ổn, có thể cải thiện thêm một chút.",3,44,0.1633079686265779,2.813658895724015,1,Dễ,0,lunch,2,balanced,561,30,6,44744
CUS00004,Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,cook,4.0,2024-08-05,"Hương vị hài hòa, rất đáng thử.",3,20,0.2988460166721766,3.0681658366626414,0,Khó,1,lunch,2,balanced,826,68,13,120000
CUS00004,Tôm hấp rau củ,https://monngonmoingay.com/tom-hap/,like,3.5,2025-02-12,"Món ăn ổn, có thể cải thiện thêm một chút.",3,66,0.2025193487824259,3.0350120261098783,1,Dễ,0,dinner,1,weight-loss,460,25,5,41145
CUS00004,Canh chua cá lóc,https://monngonmoingay.com/canh-chua-ca-loc/,view,2.5,2024-10-27,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",3,17,0.1701833745369724,3.037844391348172,4,Dễ,0,lunch,2,weight-loss,335,26,3,30419
CUS00004,Bò xào cà ri tam sắc (L1),https://monngonmoingay.com/bo-xao/,like,3.0,2024-08-21,"Món ăn ổn, có thể cải thiện thêm một chút.",3,11,0.2882440471811504,3.189820593789328,1,Dễ,0,dinner,1,balanced,549,20,4,33248
CUS00005,Gà om bia,https://monngonmoingay.com/ga-om/,save,3.0,2024-12-02,"Món ăn ổn, có thể cải thiện thêm một chút.",4,39,0.1669743122174588,3.060209482423552,3,Dễ,0,dinner,1,balanced,628,28,4,32112
CUS00005,Mì Quảng,https://monngonmoingay.com/mi-quang/,rate,4.0,2024-09-06,"Hương vị hài hòa, rất đáng thử.",4,50,0.2399708467526341,3.2878683581224206,2,Dễ,0,breakfast,0,balanced,332,19,4,39060
CUS00005,Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,like,2.5,2024-09-06,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",4,20,0.2572631650399146,3.080678762415237,1,Khó,1,lunch,2,balanced,825,112,15,120000
CUS00005,Tôm trộn bông cải,https://monngonmoingay.com/tom-tron/,rate,4.0,2024-05-14,"Hương vị hài hòa, rất đáng thử.",4,70,0.2229824415058756,3.231208844295827,2,Dễ,0,lunch,2,balanced,535,17,3,38273
CUS00005,Heo nướng bắp cải chua,https://monngonmoingay.com/heo-nuong/,like,4.0,2025-02-26,"Hương vị hài hòa, rất đáng thử.",4,45,0.2115146903659988,3.0214351902624537,1,Dễ,0,dinner,1,weight-loss,595,22,3,37688
CUS00005,Mì vịt tiềm chay,https://monngonmoingay.com/mi-vit-tiem-chay-2/,rate,3.0,2024-12-27,"Món ăn ổn, có thể cải thiện thêm một chút.",4,51,0.2117704491599509,2.9727008035219167,2,Dễ,0,lunch,2,balanced,412,21,6,50000
CUS00005,Há cảo tam sắc,https://monngonmoingay.com/ha-cao-tam-sac/,save,4.0,2024-11-28,"Hương vị hài hòa, rất đáng thử.",4,46,0.2385958194961964,3.25563225590564,3,Dễ,0,breakfast,0,balanced,269,22,5,50000
CUS00005,Bánh chiên hải sản,https://monngonmoingay.com/banh-chien/,like,3.5,2024-11-25,"Món ăn ổn, có thể cải thiện thêm một chút.",4,1,0.2277937245007013,3.09885712442494,1,Dễ,0,breakfast,0,balanced,434,30,6,39056
CUS00005,Bánh khọt lá cẩm nhân nấm hạt sen,https://monngonmoingay.com/banh-khot-la-cam-nhan-nam-hat-sen/,save,3.0,2024-09-11,"Món ăn ổn, có thể cải thiện thêm một chút.",4,4,0.1977387625991615,3.158977169581311,3,Dễ,0,breakfast,0,brain-boost,373,15,8,50000
CUS00005,Cá cuộn Bacon hương thảo,https://monngonmoingay.com/ca-cuon/,rate,2.0,2025-02-28,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",4,24,0.1779727300937766,3.0139078655565186,2,Dễ,0,lunch,2,weight-loss,526,26,4,32244
CUS00006,Mực trộn khổ qua chua ngọt,https://monngonmoingay.com/muc-tron/,rate,4.0,2024-12-28,"Hương vị hài hòa, rất đáng thử.",5,59,0.2284227997637787,3.079465924943577,2,Dễ,0,breakfast,0,balanced,407,21,6,50000
CUS00006,Tôm trộn bông cải,https://monngonmoingay.com/tom-tron/,like,3.0,2024-06-16,"Món ăn ổn, có thể cải thiện thêm một chút.",5,70,0.2311861234271341,3.205557913051305,1,Dễ,0,lunch,2,balanced,519,26,4,41992
CUS00006,Heo kho tàu,https://monngonmoingay.com/heo-kho/,view,2.5,2024-06-14,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",5,44,0.1611802982933909,2.7961903347936974,4,Dễ,0,lunch,2,balanced,532,17,3,32804
CUS00006,Gà luộc xôi gấc,https://monngonmoingay.com/ga-luoc/,cook,3.0,2024-05-16,"Món ăn ổn, có thể cải thiện thêm một chút.",5,36,0.1627097921720372,3.2079625816994146,0,Dễ,0,dinner,1,weight-loss,530,20,6,50000
CUS00006,Cua rang sốt tắc,https://monngonmoingay.com/cua-rang-sot-tac/,cook,4.0,2025-02-27,"Hương vị hài hòa, rất đáng thử.",5,22,0.1518392535674134,3.205098312402761,0,Dễ,0,lunch,2,balanced,503,22,6,50000
CUS00007,Gà om bia,https://monngonmoingay.com/ga-om/,view,1.5,2025-03-10,"Khó thưởng thức, món chưa đạt yêu cầu.",6,39,0.1926022399702341,3.0873166977466098,4,Dễ,0,dinner,1,balanced,570,22,5,43590
CUS00007,Bò cuộn ba rọi xông khói,https://monngonmoingay.com/bo-cuon/,rate,2.0,2025-01-05,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",6,10,0.2373971120504268,3.042433754167926,2,Dễ,0,lunch,2,balanced,509,16,5,50000
CUS00007,Món Chiên,https://monngonmoingay.com/cac-mon-chien-ngon/,cook,4.0,2024-12-13,"Hương vị hài hòa, rất đáng thử.",6,52,0.3028935919676943,3.0757414305342667,0,Dễ,0,lunch,2,balanced,504,18,4,48936
CUS00007,Cua rang sốt tắc,https://monngonmoingay.com/cua-rang-sot-tac/,save,4.5,2025-01-27,"Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!",6,22,0.154270740974047,3.250698113690145,3,Dễ,0,lunch,2,balanced,483,17,5,50000
CUS00007,Tôm hấp rau củ,https://monngonmoingay.com/tom-hap/,save,4.5,2024-08-08,"Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!",6,66,0.2077741743808521,3.030445108286207,3,Dễ,0,dinner,1,weight-loss,447,15,5,38455
CUS00007,Gà kho chao Mayonnaise,https://monngonmoingay.com/ga-kho/,rate,4.0,2025-02-08,"Hương vị hài hòa, rất đáng thử.",6,35,0.1697221756924993,3.0462907565087534,2,Dễ,0,dinner,1,balanced,574,28,6,50000
CUS00007,Cá chiên bông điên điển,https://monngonmoingay.com/ca-chien/,view,1.5,2024-08-06,"Khó thưởng thức, món chưa đạt yêu cầu.",6,23,0.202293911811479,3.2412179008497057,4,Dễ,0,lunch,2,weight-loss,452,18,5,50000
CUS00008,Canh chua cá lóc,https://monngonmoingay.com/canh-chua-ca-loc/,view,2.0,2024-11-23,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",7,17,0.1735885142698833,3.041895701273136,4,Dễ,0,lunch,2,weight-loss,365,20,6,50000
CUS00008,Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,view,1.5,2025-02-08,"Khó thưởng thức, món chưa đạt yêu cầu.",7,20,0.263601466160862,3.0813351087605456,4,Khó,1,lunch,2,balanced,859,87,11,102999
CUS00008,Chả giò bắc thảo (L1),https://monngonmoingay.com/cha-gio/,view,2.0,2025-01-05,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",7,21,0.2705452748895121,3.104071161406841,4,Trung bình,3,lunch,2,balanced,516,38,5,68035
CUS00008,Mực nướng sa tế,https://monngonmoingay.com/muc-nuong/,view,2.0,2024-11-12,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",7,58,0.1671139436106216,3.088181019304973,4,Dễ,0,dinner,1,weight-loss,355,26,4,39828
CUS00008,Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản,https://monngonmoingay.com/mayonnaise-aji-mayo/,view,3.0,2024-06-07,"Món ăn ổn, có thể cải thiện thêm một chút.",7,73,0.256295045154321,2.96836873164235,4,Khó,1,dinner,1,balanced,618,64,17,120000
CUS00009,Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản,https://monngonmoingay.com/mayonnaise-aji-mayo/,save,2.5,2024-10-13,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",8,73,0.2597036700661896,2.9579237228588133,3,Khó,1,dinner,1,balanced,620,88,9,112623
CUS00009,Cua rang sốt tắc,https://monngonmoingay.com/cua-rang-sot-tac/,save,2.5,2025-03-27,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",8,22,0.1637299750481023,3.2192341226741314,3,Dễ,0,lunch,2,balanced,453,24,5,46590
CUS00009,Cá kho chuối xanh,https://monngonmoingay.com/ca-kho/,like,4.0,2025-05-08,"Hương vị hài hòa, rất đáng thử.",8,27,0.192567181030581,3.0578928692342915,1,Dễ,0,dinner,1,weight-loss,412,30,6,50000
CUS00009,Cá chiên bông điên điển,https://monngonmoingay.com/ca-chien/,view,2.5,2024-08-02,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",8,23,0.2148561711353887,3.220236778216625,4,Dễ,0,lunch,2,weight-loss,522,27,4,39116
CUS00009,Tôm nướng bánh hỏi,https://monngonmoingay.com/tom-nuong/,cook,4.5,2024-06-08,"Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!",8,68,0.2117182055285501,3.192553271144359,0,Dễ,0,breakfast,0,weight-loss,407,15,5,48485
CUS00009,Tôm hấp rau củ,https://monngonmoingay.com/tom-hap/,save,4.0,2025-01-26,"Hương vị hài hòa, rất đáng thử.",8,66,0.2032757577002891,3.03740147587869,3,Dễ,0,dinner,1,weight-loss,430,28,5,39610
