customer_id,recipe_name,recipe_url,interaction_type,rating,interaction_date,comment,user_index,item_index,content_score,cf_score,interaction_type_code,difficulty,difficulty_code,meal_time,meal_time_code
CUS00001,"Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc",https://monngonmoingay.com/mon-kho/,like,3.5,2024-07-20,"Món ăn ổn, có thể cải thiện thêm một chút.",0,54,0.1013399388844841,3.0468699911215835,1,Không rõ,2,unknown,3
CUS00001,Bắp hạt chiên giòn,https://monngonmoingay.com/bap-hat-chien-gion/,view,1.5,2025-04-01,"Khó thưởng thức, món chưa đạt yêu cầu.",0,15,0.1638217401953125,3.12345499808108,4,Dễ,0,unknown,3
CUS00001,Bánh canh cua,https://monngonmoingay.com/banh-canh-cua/,save,4.0,2025-02-02,"Hương vị hài hòa, rất đáng thử.",0,0,0.2132216184625789,3.046940170381243,3,Dễ,0,breakfast,0
CUS00001,Há cảo tam sắc,https://monngonmoingay.com/ha-cao-tam-sac/,save,3.5,2025-02-12,"Món ăn ổn, có thể cải thiện thêm một chút.",0,46,0.2534136207615819,3.2644828036624403,3,Dễ,0,breakfast,0
CUS00001,Mì vịt tiềm chay,https://monngonmoingay.com/mi-vit-tiem-chay-2/,view,2.0,2024-10-28,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",0,51,0.2106011666504159,2.991572520045381,4,Dễ,0,unknown,3
CUS00001,Gà om bia,https://monngonmoingay.com/ga-om/,cook,3.0,2025-01-16,"Món ăn ổn, có thể cải thiện thêm một chút.",0,39,0.1886909983082036,3.0756866381212444,0,Dễ,0,dinner,1
CUS00001,Gà nướng bưởi xốt giấm,https://monngonmoingay.com/ga-nuong/,save,3.5,2025-01-04,"Món ăn ổn, có thể cải thiện thêm một chút.",0,37,0.2138059115983976,3.1965893763401234,3,Dễ,0,dinner,1
CUS00002,Món ngon từ cá,https://monngonmoingay.com/mon-ngon-tu-ca/,view,2.5,2024-12-10,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",1,55,0.3316241180959913,3.0208085281481125,4,Dễ,0,lunch,2
CUS00002,Thịt nướng BBQ,https://monngonmoingay.com/thit-nuong/,save,3.5,2025-02-22,"Món ăn ổn, có thể cải thiện thêm một chút.",1,64,0.2701621391387072,3.2745049997762954,3,Dễ,0,unknown,3
CUS00002,Mực nướng sa tế,https://monngonmoingay.com/muc-nuong/,view,3.0,2025-03-08,"Món ăn ổn, có thể cải thiện thêm một chút.",1,58,0.1851992223938234,3.0863796052537285,4,Dễ,0,unknown,3
CUS00002,Gà rim ngũ vị,https://monngonmoingay.com/ga-rim/,save,4.0,2025-05-04,"Hương vị hài hòa, rất đáng thử.",1,40,0.2120991607356936,3.0878140834659225,3,Dễ,0,unknown,3
CUS00002,Heo nướng bắp cải chua,https://monngonmoingay.com/heo-nuong/,view,3.0,2024-12-21,"Món ăn ổn, có thể cải thiện thêm một chút.",1,45,0.2438424055092316,3.049588912349166,4,Dễ,0,dinner,1
CUS00003,Gà trộn gừng chua ngọt,https://monngonmoingay.com/ga-tron/,save,3.5,2024-08-10,"Món ăn ổn, có thể cải thiện thêm một chút.",2,41,0.2444362092647798,3.137074340041801,3,Dễ,0,dinner,1
CUS00003,Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,rate,3.0,2025-01-14,"Món ăn ổn, có thể cải thiện thêm một chút.",2,20,0.290848859866103,3.074190092803644,2,Khó,1,lunch,2
CUS00003,Tôm rim thịt ba chỉ,https://monngonmoingay.com/tom-rim/,like,4.0,2024-07-20,"Hương vị hài hòa, rất đáng thử.",2,69,0.2515212482748589,3.2939155484752938,1,Dễ,0,lunch,2
CUS00003,"Canh khổ qua – Gian khổ đi qua, cả nhà may mắn",https://monngonmoingay.com/canh-kho/,cook,4.5,2024-05-20,"Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!",2,18,0.1760140327290049,2.934363603782059,0,Không rõ,2,unknown,3
CUS00003,Điều khoảnsử dụng,https://monngonmoingay.com/dieu-khoan-su-dung,like,2.5,2024-06-04,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",2,74,0.3271118235412632,3.1767701037134164,1,Khó,1,dinner,1
CUS00004,Món Chiên,https://monngonmoingay.com/cac-mon-chien-ngon/,view,2.5,2025-04-14,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",3,52,0.2876601328317339,3.083852924300706,4,Dễ,0,lunch,2
CUS00004,Gà nướng bưởi xốt giấm,https://monngonmoingay.com/ga-nuong/,save,3.5,2025-01-19,"Món ăn ổn, có thể cải thiện thêm một chút.",3,37,0.1887140804694365,3.186969139267465,3,Dễ,0,dinner,1
CUS00004,"Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc",https://monngonmoingay.com/mon-kho/,save,4.0,2024-06-05,"Hương vị hài hòa, rất đáng thử.",3,54,0.0855276467126564,3.029545658496532,3,Không rõ,2,unknown,3
CUS00004,Cơm chiên cá mặn,https://monngonmoingay.com/com-chien-ca-man/,view,2.0,2025-03-30,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",3,31,0.2152962514901245,3.1749841275330364,4,Dễ,0,breakfast,0
CUS00004,Gà luộc xôi gấc,https://monngonmoingay.com/ga-luoc/,rate,3.0,2024-10-08,"Món ăn ổn, có thể cải thiện thêm một chút.",3,36,0.1554693961434023,3.185173426611859,2,Dễ,0,unknown,3
CUS00004,Bò chiên một nắng,https://monngonmoingay.com/bo-chien/,like,3.5,2024-10-11,"Món ăn ổn, có thể cải thiện thêm một chút.",3,9,0.1782769777206649,3.157133427934507,1,Dễ,0,lunch,2
CUS00004,Heo kho tàu,https://monngonmoingay.com/heo-kho/,like,3.5,2025-04-11,"Món ăn ổn, có thể cải thiện thêm một chút.",3,44,0.1633079686265779,2.813658895724015,1,Dễ,0,unknown,3
CUS00004,Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,cook,4.0,2024-08-05,"Hương vị hài hòa, rất đáng thử.",3,20,0.2988460166721766,3.0681658366626414,0,Khó,1,lunch,2
CUS00004,Tôm hấp rau củ,https://monngonmoingay.com/tom-hap/,like,3.5,2025-02-12,"Món ăn ổn, có thể cải thiện thêm một chút.",3,66,0.2025193487824259,3.0350120261098783,1,Dễ,0,dinner,1
CUS00004,Canh chua cá lóc,https://monngonmoingay.com/canh-chua-ca-loc/,view,2.5,2024-10-27,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",3,17,0.1701833745369724,3.037844391348172,4,Dễ,0,lunch,2
CUS00004,Bò xào cà ri tam sắc (L1),https://monngonmoingay.com/bo-xao/,like,3.0,2024-08-21,"Món ăn ổn, có thể cải thiện thêm một chút.",3,11,0.2882440471811504,3.189820593789328,1,Dễ,0,unknown,3
CUS00005,Gà om bia,https://monngonmoingay.com/ga-om/,save,3.0,2024-12-02,"Món ăn ổn, có thể cải thiện thêm một chút.",4,39,0.1669743122174588,3.060209482423552,3,Dễ,0,dinner,1
CUS00005,Mì Quảng,https://monngonmoingay.com/mi-quang/,rate,4.0,2024-09-06,"Hương vị hài hòa, rất đáng thử.",4,50,0.2399708467526341,3.2878683581224206,2,Dễ,0,breakfast,0
CUS00005,Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,like,2.5,2024-09-06,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",4,20,0.2572631650399146,3.080678762415237,1,Khó,1,lunch,2
CUS00005,Tôm trộn bông cải,https://monngonmoingay.com/tom-tron/,rate,4.0,2024-05-14,"Hương vị hài hòa, rất đáng thử.",4,70,0.2229824415058756,3.231208844295827,2,Dễ,0,lunch,2
CUS00005,Heo nướng bắp cải chua,https://monngonmoingay.com/heo-nuong/,like,4.0,2025-02-26,"Hương vị hài hòa, rất đáng thử.",4,45,0.2115146903659988,3.0214351902624537,1,Dễ,0,dinner,1
CUS00005,Mì vịt tiềm chay,https://monngonmoingay.com/mi-vit-tiem-chay-2/,rate,3.0,2024-12-27,"Món ăn ổn, có thể cải thiện thêm một chút.",4,51,0.2117704491599509,2.9727008035219167,2,Dễ,0,unknown,3
CUS00005,Há cảo tam sắc,https://monngonmoingay.com/ha-cao-tam-sac/,save,4.0,2024-11-28,"Hương vị hài hòa, rất đáng thử.",4,46,0.2385958194961964,3.25563225590564,3,Dễ,0,breakfast,0
CUS00005,Bánh chiên hải sản,https://monngonmoingay.com/banh-chien/,like,3.5,2024-11-25,"Món ăn ổn, có thể cải thiện thêm một chút.",4,1,0.2277937245007013,3.09885712442494,1,Dễ,0,unknown,3
CUS00005,Bánh khọt lá cẩm nhân nấm hạt sen,https://monngonmoingay.com/banh-khot-la-cam-nhan-nam-hat-sen/,save,3.0,2024-09-11,"Món ăn ổn, có thể cải thiện thêm một chút.",4,4,0.1977387625991615,3.158977169581311,3,Dễ,0,unknown,3
CUS00005,Cá cuộn Bacon hương thảo,https://monngonmoingay.com/ca-cuon/,rate,2.0,2025-02-28,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.",4,24,0.1779727300937766,3.0139078655565186,2,Dễ,0,lunch,2
CUS00006,Mực trộn khổ qua chua ngọt,https://monngonmoingay.com/muc-tron/,rate,4.0,2024-12-28,"Hương vị hài hòa, rất đáng thử.",5,59,0.2284227997637787,3.079465924943577,2,Dễ,0,unknown,3
