customer_id,age,gender,age_group,region,regional_preferences,demographic_text
CUS00001,23.0,female,18-24,Đà Nẵng,central,"Nhân khẩu học: 23.0 tuổi, female, nhóm 18-24, khu vực Đà Nẵng, sở thích: central"
CUS00002,53.0,male,45-54,Vũng Tàu,southern,"Nhân khẩu học: 53.0 tuổi, male, nhóm 45-54, khu vực Vũng Tàu, sở thích: southern"
CUS00003,48.0,female,45-54,Hạ Long,northern,"Nhân khẩu học: 48.0 tuổi, female, nhóm 45-54, khu vực Hạ Long, sở thích: northern"
CUS00004,75.0,female,65+,Vũng Tàu,southern,"Nhân khẩu học: 75.0 tuổi, female, nhóm 65+, khu vực Vũng Tàu, sở thích: southern"
CUS00005,69.0,male,65+,Huế,central,"Nhân khẩu học: 69.0 tuổi, male, nhóm 65+, khu vực Huế, sở thích: central"
CUS00006,76.0,male,65+,Nha Trang,northern,"Nhân khẩu học: 76.0 tuổi, male, nhóm 65+, khu vực Nha Trang, sở thích: northern"
CUS00007,33.0,female,25-34,TP.HCM,southern,"Nhân khẩu học: 33.0 tuổi, female, nhóm 25-34, khu vực TP.HCM, sở thích: southern"
CUS00008,18.0,female,18-24,Đà Lạt,southern,"Nhân khẩu học: 18.0 tuổi, female, nhóm 18-24, khu vực Đà Lạt, sở thích: southern"
CUS00009,56.0,female,55-64,TP.HCM,southern,"Nhân khẩu học: 56.0 tuổi, female, nhóm 55-64, khu vực TP.HCM, sở thích: southern"
CUS00010,37.0,female,35-44,Vũng Tàu,southern,"Nhân khẩu học: 37.0 tuổi, female, nhóm 35-44, khu vực Vũng Tàu, sở thích: southern"
CUS00011,37.0,female,35-44,Đà Nẵng,central,"Nhân khẩu học: 37.0 tuổi, female, nhóm 35-44, khu vực Đà Nẵng, sở thích: central"
CUS00012,65.0,female,65+,Hà Nội,northern,"Nhân khẩu học: 65.0 tuổi, female, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00013,38.0,female,35-44,Đà Lạt,southern,"Nhân khẩu học: 38.0 tuổi, female, nhóm 35-44, khu vực Đà Lạt, sở thích: southern"
CUS00014,39.0,female,35-44,Hải Phòng,northern,"Nhân khẩu học: 39.0 tuổi, female, nhóm 35-44, khu vực Hải Phòng, sở thích: northern"
CUS00015,42.0,female,35-44,Hà Nội,northern,"Nhân khẩu học: 42.0 tuổi, female, nhóm 35-44, khu vực Hà Nội, sở thích: northern"
CUS00016,37.0,female,35-44,Nha Trang,southern,"Nhân khẩu học: 37.0 tuổi, female, nhóm 35-44, khu vực Nha Trang, sở thích: southern"
CUS00017,26.0,male,25-34,Huế,central,"Nhân khẩu học: 26.0 tuổi, male, nhóm 25-34, khu vực Huế, sở thích: central"
CUS00018,20.0,male,18-24,Huế,central,"Nhân khẩu học: 20.0 tuổi, male, nhóm 18-24, khu vực Huế, sở thích: central"
CUS00019,42.0,male,35-44,Vũng Tàu,southern,"Nhân khẩu học: 42.0 tuổi, male, nhóm 35-44, khu vực Vũng Tàu, sở thích: southern"
CUS00020,71.0,female,65+,Hà Nội,northern,"Nhân khẩu học: 71.0 tuổi, female, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00021,36.0,female,35-44,Cần Thơ,southern,"Nhân khẩu học: 36.0 tuổi, female, nhóm 35-44, khu vực Cần Thơ, sở thích: southern"
CUS00022,77.0,male,65+,Buôn Ma Thuột,southern,"Nhân khẩu học: 77.0 tuổi, male, nhóm 65+, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00023,26.0,male,25-34,Hạ Long,northern,"Nhân khẩu học: 26.0 tuổi, male, nhóm 25-34, khu vực Hạ Long, sở thích: northern"
CUS00024,45.0,female,45-54,Buôn Ma Thuột,northern,"Nhân khẩu học: 45.0 tuổi, female, nhóm 45-54, khu vực Buôn Ma Thuột, sở thích: northern"
CUS00025,19.0,male,18-24,Hải Phòng,northern,"Nhân khẩu học: 19.0 tuổi, male, nhóm 18-24, khu vực Hải Phòng, sở thích: northern"
CUS00026,76.0,male,65+,Buôn Ma Thuột,southern,"Nhân khẩu học: 76.0 tuổi, male, nhóm 65+, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00027,29.0,female,25-34,Cần Thơ,southern,"Nhân khẩu học: 29.0 tuổi, female, nhóm 25-34, khu vực Cần Thơ, sở thích: southern"
CUS00028,67.0,male,65+,Nha Trang,southern,"Nhân khẩu học: 67.0 tuổi, male, nhóm 65+, khu vực Nha Trang, sở thích: southern"
CUS00029,28.0,female,25-34,Đà Lạt,southern,"Nhân khẩu học: 28.0 tuổi, female, nhóm 25-34, khu vực Đà Lạt, sở thích: southern"
CUS00030,52.0,male,45-54,Nha Trang,central,"Nhân khẩu học: 52.0 tuổi, male, nhóm 45-54, khu vực Nha Trang, sở thích: central"
CUS00031,19.0,female,18-24,Buôn Ma Thuột,northern,"Nhân khẩu học: 19.0 tuổi, female, nhóm 18-24, khu vực Buôn Ma Thuột, sở thích: northern"
