customer_id,recipe_name,interaction_type,rating,interaction_date,comment,interaction_text
CUS00001,Tôm kho tàu,like,3.0,2024-06-26,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã like món Tôm kho tàu với rating 3.0/5 vào 2024-06-26. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản,save,4.0,2024-06-28,"Hương vị hài hòa, rất đáng thử.","Khách hàng CUS00001 đã save món Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản với rating 4.0/5 vào 2024-06-28. Nhận xét: Hương vị hài hòa, rất đáng thử."
CUS00001,Heo nướng bắp cải chua,view,3.0,2024-07-18,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã view món Heo nướng bắp cải chua với rating 3.0/5 vào 2024-07-18. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,"Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc",like,3.5,2024-07-20,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã like món Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc với rating 3.5/5 vào 2024-07-20. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Điều khoảnsử dụng,view,2.5,2024-09-01,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.","Khách hàng CUS00001 đã view món Điều khoảnsử dụng với rating 2.5/5 vào 2024-09-01. Nhận xét: Không thực sự ấn tượng, cần tinh chỉnh lại hương vị."
CUS00001,Gỏi cuốn tôm thịt (L1),view,1.5,2024-09-14,"Khó thưởng thức, món chưa đạt yêu cầu.","Khách hàng CUS00001 đã view món Gỏi cuốn tôm thịt (L1) với rating 1.5/5 vào 2024-09-14. Nhận xét: Khó thưởng thức, món chưa đạt yêu cầu."
CUS00001,Thịt chiên xốt nước tương,view,2.0,2024-09-15,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.","Khách hàng CUS00001 đã view món Thịt chiên xốt nước tương với rating 2.0/5 vào 2024-09-15. Nhận xét: Không thực sự ấn tượng, cần tinh chỉnh lại hương vị."
CUS00001,Chả giò bắc thảo (L1),view,1.5,2024-10-21,"Khó thưởng thức, món chưa đạt yêu cầu.","Khách hàng CUS00001 đã view món Chả giò bắc thảo (L1) với rating 1.5/5 vào 2024-10-21. Nhận xét: Khó thưởng thức, món chưa đạt yêu cầu."
CUS00001,Mì vịt tiềm chay,view,2.0,2024-10-28,"Không thực sự ấn tượng, cần tinh chỉnh lại hương vị.","Khách hàng CUS00001 đã view món Mì vịt tiềm chay với rating 2.0/5 vào 2024-10-28. Nhận xét: Không thực sự ấn tượng, cần tinh chỉnh lại hương vị."
CUS00001,Cá cuộn Bacon hương thảo,like,3.0,2024-11-26,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã like món Cá cuộn Bacon hương thảo với rating 3.0/5 vào 2024-11-26. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Lẩu nấm,cook,4.0,2024-12-13,"Hương vị hài hòa, rất đáng thử.","Khách hàng CUS00001 đã cook món Lẩu nấm với rating 4.0/5 vào 2024-12-13. Nhận xét: Hương vị hài hòa, rất đáng thử."
CUS00001,Mực nướng sa tế,rate,3.0,2024-12-27,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã rate món Mực nướng sa tế với rating 3.0/5 vào 2024-12-27. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Món Chiên,save,3.0,2024-12-31,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã save món Món Chiên với rating 3.0/5 vào 2024-12-31. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Mì Quảng,cook,5.0,2025-01-03,"Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!","Khách hàng CUS00001 đã cook món Mì Quảng với rating 5.0/5 vào 2025-01-03. Nhận xét: Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!"
CUS00001,Gà nướng bưởi xốt giấm,save,3.5,2025-01-04,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã save món Gà nướng bưởi xốt giấm với rating 3.5/5 vào 2025-01-04. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Tôm hấp rau củ,like,3.5,2025-01-04,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã like món Tôm hấp rau củ với rating 3.5/5 vào 2025-01-04. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Gà om bia,cook,3.0,2025-01-16,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã cook món Gà om bia với rating 3.0/5 vào 2025-01-16. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Cá diêu hồng xiên que chiên lá chanh,like,3.5,2025-01-25,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã like món Cá diêu hồng xiên que chiên lá chanh với rating 3.5/5 vào 2025-01-25. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Bánh canh cua,save,4.0,2025-02-02,"Hương vị hài hòa, rất đáng thử.","Khách hàng CUS00001 đã save món Bánh canh cua với rating 4.0/5 vào 2025-02-02. Nhận xét: Hương vị hài hòa, rất đáng thử."
CUS00001,Thịt kho,rate,5.0,2025-02-03,"Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!","Khách hàng CUS00001 đã rate món Thịt kho với rating 5.0/5 vào 2025-02-03. Nhận xét: Thưởng thức tuyệt vời, món ăn thật sự xuất sắc!"
CUS00001,Há cảo tam sắc,save,3.5,2025-02-12,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã save món Há cảo tam sắc với rating 3.5/5 vào 2025-02-12. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Cơm tấm sườn nướng,cook,4.1,2025-02-14,Rất ngon và dễ làm.,Khách hàng CUS00001 đã cook món Cơm tấm sườn nướng với rating 4.1/5 vào 2025-02-14. Nhận xét: Rất ngon và dễ làm.
CUS00001,Bò cuộn ba rọi xông khói,like,4.0,2025-03-03,"Hương vị hài hòa, rất đáng thử.","Khách hàng CUS00001 đã like món Bò cuộn ba rọi xông khói với rating 4.0/5 vào 2025-03-03. Nhận xét: Hương vị hài hòa, rất đáng thử."
CUS00001,Chả cá Lã Vọng,save,1.9,2025-03-08,Cần cải thiện hương vị.,Khách hàng CUS00001 đã save món Chả cá Lã Vọng với rating 1.9/5 vào 2025-03-08. Nhận xét: Cần cải thiện hương vị.
CUS00001,Mực xào chua cay,view,3.0,2025-03-16,"Món ăn ổn, có thể cải thiện thêm một chút.","Khách hàng CUS00001 đã view món Mực xào chua cay với rating 3.0/5 vào 2025-03-16. Nhận xét: Món ăn ổn, có thể cải thiện thêm một chút."
CUS00001,Chè đậu xanh,save,4.1,2025-03-17,"Món ăn tuyệt vời, sẽ làm lại.","Khách hàng CUS00001 đã save món Chè đậu xanh với rating 4.1/5 vào 2025-03-17. Nhận xét: Món ăn tuyệt vời, sẽ làm lại."
