recipe_name,recipe_url,difficulty,meal_time,nutrition_category,estimated_calories,preparation_time_minutes,ingredient_count,estimated_price_vnd,recipe_text
Tôm kho tàu,https://monngonmoingay.com/tom-kho/,Dễ,dinner,balanced,390,21,4,49084,"Món Tôm kho tàu là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 390 calo, thời gian chế biến 21 phút, giá ước tính 49084 VND"
Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản,https://monngonmoingay.com/mayonnaise-aji-mayo/,Khó,dinner,balanced,592,85,11,120000,"Món Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản là món dinner có độ khó Khó, thuộc loại balanced, khoảng 592 calo, thời gian chế biến 85 phút, giá ước tính 120000 VND"
Heo nướng bắp cải chua,https://monngonmoingay.com/heo-nuong/,Dễ,dinner,weight-loss,618,25,3,29657,"Món Heo nướng bắp cải chua là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 618 calo, thời gian chế biến 25 phút, giá ước tính 29657 VND"
"Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc",https://monngonmoingay.com/mon-kho/,Dễ,lunch,balanced,486,38,7,60000,"Món Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 486 calo, thời gian chế biến 38 phút, giá ước tính 60000 VND"
Điều khoảnsử dụng,https://monngonmoingay.com/dieu-khoan-su-dung,Khó,dinner,balanced,600,76,15,120000,"Món Điều khoảnsử dụng là món dinner có độ khó Khó, thuộc loại balanced, khoảng 600 calo, thời gian chế biến 76 phút, giá ước tính 120000 VND"
Gỏi cuốn tôm thịt (L1),https://monngonmoingay.com/goi-cuon-tom-thit/,Trung bình,dinner,weight-loss,372,56,9,80000,"Món Gỏi cuốn tôm thịt (L1) là món dinner có độ khó Trung bình, thuộc loại weight-loss, khoảng 372 calo, thời gian chế biến 56 phút, giá ước tính 80000 VND"
Thịt chiên xốt nước tương,https://monngonmoingay.com/thit-chien/,Dễ,lunch,blood-boost,615,16,3,41069,"Món Thịt chiên xốt nước tương là món lunch có độ khó Dễ, thuộc loại blood-boost, khoảng 615 calo, thời gian chế biến 16 phút, giá ước tính 41069 VND"
Chả giò bắc thảo (L1),https://monngonmoingay.com/cha-gio/,Trung bình,lunch,balanced,544,41,9,80000,"Món Chả giò bắc thảo (L1) là món lunch có độ khó Trung bình, thuộc loại balanced, khoảng 544 calo, thời gian chế biến 41 phút, giá ước tính 80000 VND"
Mì vịt tiềm chay,https://monngonmoingay.com/mi-vit-tiem-chay-2/,Dễ,lunch,balanced,409,30,3,36518,"Món Mì vịt tiềm chay là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 409 calo, thời gian chế biến 30 phút, giá ước tính 36518 VND"
Cá cuộn Bacon hương thảo,https://monngonmoingay.com/ca-cuon/,Dễ,lunch,weight-loss,513,24,5,36370,"Món Cá cuộn Bacon hương thảo là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 513 calo, thời gian chế biến 24 phút, giá ước tính 36370 VND"
Lẩu nấm,https://monngonmoingay.com/lau-nam/,Dễ,breakfast,balanced,399,16,4,44252,"Món Lẩu nấm là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 399 calo, thời gian chế biến 16 phút, giá ước tính 44252 VND"
Mực nướng sa tế,https://monngonmoingay.com/muc-nuong/,Dễ,dinner,weight-loss,417,27,3,43217,"Món Mực nướng sa tế là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 417 calo, thời gian chế biến 27 phút, giá ước tính 43217 VND"
Món Chiên,https://monngonmoingay.com/cac-mon-chien-ngon/,Dễ,lunch,balanced,508,19,5,48155,"Món Món Chiên là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 508 calo, thời gian chế biến 19 phút, giá ước tính 48155 VND"
Mì Quảng,https://monngonmoingay.com/mi-quang/,Dễ,breakfast,balanced,344,25,5,37570,"Món Mì Quảng là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 344 calo, thời gian chế biến 25 phút, giá ước tính 37570 VND"
Gà nướng bưởi xốt giấm,https://monngonmoingay.com/ga-nuong/,Dễ,dinner,weight-loss,612,27,6,50000,"Món Gà nướng bưởi xốt giấm là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 612 calo, thời gian chế biến 27 phút, giá ước tính 50000 VND"
Tôm hấp rau củ,https://monngonmoingay.com/tom-hap/,Dễ,dinner,weight-loss,440,16,6,50000,"Món Tôm hấp rau củ là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 440 calo, thời gian chế biến 16 phút, giá ước tính 50000 VND"
Gà om bia,https://monngonmoingay.com/ga-om/,Dễ,dinner,balanced,590,20,3,32432,"Món Gà om bia là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 590 calo, thời gian chế biến 20 phút, giá ước tính 32432 VND"
Cá diêu hồng xiên que chiên lá chanh,https://monngonmoingay.com/ca-dieu-hong-xien-que-chien-la-chanh/,Dễ,dinner,weight-loss,391,25,6,38408,"Món Cá diêu hồng xiên que chiên lá chanh là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 391 calo, thời gian chế biến 25 phút, giá ước tính 38408 VND"
Bánh canh cua,https://monngonmoingay.com/banh-canh-cua/,Dễ,breakfast,weight-loss,196,24,5,49295,"Món Bánh canh cua là món breakfast có độ khó Dễ, thuộc loại weight-loss, khoảng 196 calo, thời gian chế biến 24 phút, giá ước tính 49295 VND"
Thịt kho,https://monngonmoingay.com/thit-kho/,Dễ,dinner,blood-boost,559,17,3,34583,"Món Thịt kho là món dinner có độ khó Dễ, thuộc loại blood-boost, khoảng 559 calo, thời gian chế biến 17 phút, giá ước tính 34583 VND"
Há cảo tam sắc,https://monngonmoingay.com/ha-cao-tam-sac/,Dễ,breakfast,balanced,351,28,5,38555,"Món Há cảo tam sắc là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 351 calo, thời gian chế biến 28 phút, giá ước tính 38555 VND"
Cơm tấm sườn nướng,https://monngonmoingay.com/com-tam-suon-nuong/,Trung bình,dinner,balanced,650,45,12,45000,"Món Cơm tấm sườn nướng là món dinner có độ khó Trung bình, thuộc loại balanced, khoảng 650 calo, thời gian chế biến 45 phút, giá ước tính 45000 VND"
Bò cuộn ba rọi xông khói,https://monngonmoingay.com/bo-cuon/,Dễ,breakfast,balanced,544,19,5,50000,"Món Bò cuộn ba rọi xông khói là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 544 calo, thời gian chế biến 19 phút, giá ước tính 50000 VND"
Chả cá Lã Vọng,https://monngonmoingay.com/cha-ca-la-vong/,Khó,lunch,brain-boost,420,50,10,80000,"Món Chả cá Lã Vọng là món lunch có độ khó Khó, thuộc loại brain-boost, khoảng 420 calo, thời gian chế biến 50 phút, giá ước tính 80000 VND"
Mực xào chua cay,https://monngonmoingay.com/muc-xao/,Dễ,lunch,balanced,477,29,4,42656,"Món Mực xào chua cay là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 477 calo, thời gian chế biến 29 phút, giá ước tính 42656 VND"
Chè đậu xanh,https://monngonmoingay.com/che-dau-xanh/,Dễ,dessert,weight-loss,180,30,4,15000,"Món Chè đậu xanh là món dessert có độ khó Dễ, thuộc loại weight-loss, khoảng 180 calo, thời gian chế biến 30 phút, giá ước tính 15000 VND"
Cá kho chuối xanh,https://monngonmoingay.com/ca-kho/,Dễ,dinner,weight-loss,403,25,5,50000,"Món Cá kho chuối xanh là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 403 calo, thời gian chế biến 25 phút, giá ước tính 50000 VND"
Bắp hạt chiên giòn,https://monngonmoingay.com/bap-hat-chien-gion/,Dễ,breakfast,brain-boost,444,24,6,50000,"Món Bắp hạt chiên giòn là món breakfast có độ khó Dễ, thuộc loại brain-boost, khoảng 444 calo, thời gian chế biến 24 phút, giá ước tính 50000 VND"
