recipe_name,nutrition_category,estimated_calories,difficulty,meal_time,ingredient_count,nutrition_text
Tôm kho tàu,balanced,390,Dễ,dinner,4,"Thông tin dinh dưỡng món Tôm kho tàu: loại balanced, 390 calo, phù hợp cho dinner, độ phức tạp Dễ, với 4 nguyên liệu"
Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản,balanced,592,Khó,dinner,11,"Thông tin dinh dưỡng món Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản: loại balanced, 592 calo, phù hợp cho dinner, độ phức tạp Khó, với 11 nguyên liệu"
Heo nướng bắp cải chua,weight-loss,618,Dễ,dinner,3,"Thông tin dinh dưỡng món Heo nướng bắp cải chua: loại weight-loss, 618 calo, phù hợp cho dinner, độ phức tạp Dễ, với 3 nguyên liệu"
"Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc",balanced,486,Dễ,lunch,7,"Thông tin dinh dưỡng món Món kho ngon lan tỏa yêu thương, giữ lửa hạnh phúc: loại balanced, 486 calo, phù hợp cho lunch, độ phức tạp Dễ, với 7 nguyên liệu"
Điều khoảnsử dụng,balanced,600,Khó,dinner,15,"Thông tin dinh dưỡng món Điều khoảnsử dụng: loại balanced, 600 calo, phù hợp cho dinner, độ phức tạp Khó, với 15 nguyên liệu"
Gỏi cuốn tôm thịt (L1),weight-loss,372,Trung bình,dinner,9,"Thông tin dinh dưỡng món Gỏi cuốn tôm thịt (L1): loại weight-loss, 372 calo, phù hợp cho dinner, độ phức tạp Trung bình, với 9 nguyên liệu"
Thịt chiên xốt nước tương,blood-boost,615,Dễ,lunch,3,"Thông tin dinh dưỡng món Thịt chiên xốt nước tương: loại blood-boost, 615 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Chả giò bắc thảo (L1),balanced,544,Trung bình,lunch,9,"Thông tin dinh dưỡng món Chả giò bắc thảo (L1): loại balanced, 544 calo, phù hợp cho lunch, độ phức tạp Trung bình, với 9 nguyên liệu"
Mì vịt tiềm chay,balanced,409,Dễ,lunch,3,"Thông tin dinh dưỡng món Mì vịt tiềm chay: loại balanced, 409 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Cá cuộn Bacon hương thảo,weight-loss,513,Dễ,lunch,5,"Thông tin dinh dưỡng món Cá cuộn Bacon hương thảo: loại weight-loss, 513 calo, phù hợp cho lunch, độ phức tạp Dễ, với 5 nguyên liệu"
Lẩu nấm,balanced,399,Dễ,breakfast,4,"Thông tin dinh dưỡng món Lẩu nấm: loại balanced, 399 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 4 nguyên liệu"
Mực nướng sa tế,weight-loss,417,Dễ,dinner,3,"Thông tin dinh dưỡng món Mực nướng sa tế: loại weight-loss, 417 calo, phù hợp cho dinner, độ phức tạp Dễ, với 3 nguyên liệu"
Món Chiên,balanced,508,Dễ,lunch,5,"Thông tin dinh dưỡng món Món Chiên: loại balanced, 508 calo, phù hợp cho lunch, độ phức tạp Dễ, với 5 nguyên liệu"
Mì Quảng,balanced,344,Dễ,breakfast,5,"Thông tin dinh dưỡng món Mì Quảng: loại balanced, 344 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 5 nguyên liệu"
Gà nướng bưởi xốt giấm,weight-loss,612,Dễ,dinner,6,"Thông tin dinh dưỡng món Gà nướng bưởi xốt giấm: loại weight-loss, 612 calo, phù hợp cho dinner, độ phức tạp Dễ, với 6 nguyên liệu"
Tôm hấp rau củ,weight-loss,440,Dễ,dinner,6,"Thông tin dinh dưỡng món Tôm hấp rau củ: loại weight-loss, 440 calo, phù hợp cho dinner, độ phức tạp Dễ, với 6 nguyên liệu"
Gà om bia,balanced,590,Dễ,dinner,3,"Thông tin dinh dưỡng món Gà om bia: loại balanced, 590 calo, phù hợp cho dinner, độ phức tạp Dễ, với 3 nguyên liệu"
